Name,Description,Platforms,Versions,StoreLink,Price,Category,StoreName
Youtube,"See what the world is watching -- from the hottest music videos to what’s popular in gaming, fashion, beauty, news, learning and more. Subscribe to channels you love, create content of your own, share with friends, and watch on any device.","smartphones, tablets, streaming media devices, smart TVs, laptops",16.42,https://play.google.com/store/apps/details?id=com.google.android.youtube&hl=en_US&gl=US,0,Streaming,GooglePlay
Netflix,"Watch award-winning series, movies, documentaries, and stand-up specials","smart TVs, smartphones, tablets, streaming media players, game consoles, laptops",14.11,https://apps.apple.com/us/app/netflix/id363590051,7.99,Streaming,AppleStore
Roblox,Online game platform that allows users to program games and play games created by other users,"game consoles, streaming media players, smartphone, tablets",2.5,https://www.microsoft.com/en-us/p/roblox/9nblgggzm6wm?activetab=pivot:overviewtab,4.99,Game,MicrosoftStore
Subway Surfers,An endless runner mobile game ,"smartphones, tablets",1.95,https://play.google.com/store/apps/details?id=com.kiloo.subwaysurf&hl=en_US&gl=US,0,Game,GooglePlay
Candy Crush,A match-three puzzle video game,"smartphones, tablets, laptops",1.2,https://apps.apple.com/us/app/candy-crush-saga/id553834731,0,Game,AppleStore
Soundcloud,Stream and listen online for free with over 265 million tracks,"smartphones, tablets, laptops",5.15,https://play.google.com/store/apps/details?id=com.soundcloud.android&hl=en_US&gl=US,0,Music,GooglePlay
Spotify,Stream music and podcasts you love and find music - or your next favorite song - from all over the world.,"smartphones, tablets, laptops",8.6,https://www.microsoft.com/en-us/p/spotify/9wzdncrfj4wk?activetab=pivot:overviewtab,12.99,Music,MicrosoftStore
Snapchat,a fast and fun way to share the moment with your friends and family,smartphones,11.5,https://apps.apple.com/us/app/snapchat/id447188370,0,Social Media,AppleStore
Instagram,"Connect with friends, share what you’re up to, or see what's new from others all over the world","smartphone, tablets, laptops",210,https://apps.apple.com/us/app/instagram/id389801252,0,Social Media,AppleStore
Canvas,Access your Canvas courses on the go and in the classroom with the Canvas Student mobile app,"smartphone, laptop",6.13,https://apps.apple.com/us/app/canvas-student/id480883488,0,Education,AppleStore
